run,condition,avg_dc,avg_ic,avg_total_dc,avg_total_ic,avg_total_c,avg_perc_junk1,avg_perc_junk2,final_dc,final_ic,final_total_dc,final_total_ic,final_total_c,final_perc_junk1,final_perc_junk2,init_dc,init_ic,init_total_dc,init_total_ic,init_perc_junk1,init_perc_junk2
77.00,0.00,22056054.40,8922936.65,147773179.01,175924319.59,323697498.60,62.71,62.62,33440940.40,21552714.85,157173357.68,185917632.24,343090989.92,61.46,61.69,21556747.58,7470682.98,154848411.70,184534009.17,97.00,93.00
78.00,0.00,22040931.52,8905016.98,147770220.47,175922558.90,323692779.37,62.84,62.48,34092815.96,22325146.98,157300886.36,185993527.17,343294413.53,61.57,61.59,20771153.96,6539803.24,154694723.29,184442546.04,97.00,93.00
79.00,0.00,19757377.22,6199146.68,147323480.80,175656694.96,322980175.76,62.76,62.44,30950441.48,18601628.00,156686132.71,185627674.66,342313807.37,61.51,61.52,18832242.05,4242312.80,154315407.21,184216807.26,97.00,93.00
80.00,0.00,22134056.60,9015364.42,147788438.85,175933401.04,323721839.89,62.62,62.57,33691661.77,21849804.13,157222407.17,185946822.60,343169229.77,61.39,61.66,21205737.66,7054757.99,154779742.41,184493142.67,97.00,93.00
81.00,0.00,22754094.52,9750070.93,147909739.03,176005589.26,323915328.29,62.65,62.55,33858809.35,22047863.65,157255106.84,185966282.84,343221389.68,61.42,61.63,22593062.56,8698652.00,155051149.60,184654662.66,97.00,93.00
82.00,0.00,22274938.13,9182300.30,147816000.00,175949803.24,323765803.24,62.73,62.53,33892238.86,22087475.56,157261646.77,185970174.88,343231821.65,61.46,61.64,21389600.00,7272623.46,154815712.04,184514548.93,97.00,93.00
83.00,0.00,22344184.99,9264353.53,147829547.00,175957865.34,323787412.34,62.86,62.54,34928553.85,23315444.58,157464384.68,186090828.37,343555213.05,61.61,61.64,21005160.57,6817086.56,154740502.81,184469790.38,97.00,93.00
84.00,0.00,21923928.22,8766375.31,147747330.71,175908936.74,323656267.45,62.99,62.57,34209819.26,22463788.64,157323776.13,186007149.34,343330925.47,61.72,61.67,19885271.79,5490087.78,154521415.08,184339406.77,97.00,93.00
85.00,0.00,22399104.90,9329430.23,147840291.17,175964259.42,323804550.59,62.80,62.50,34193104.51,22443982.69,157320506.16,186005203.32,343325709.48,61.55,61.59,21339455.73,7213205.60,154805902.14,184508710.86,97.00,93.00
86.00,0.00,21656492.09,8449480.08,147695011.25,175877800.35,323572811.60,62.75,62.52,33808665.08,21988445.80,157245296.94,185960444.76,343205741.70,61.50,61.63,20035704.62,5668341.35,154550844.77,184356920.99,97.00,93.00
87.00,0.00,21415322.01,8163708.49,147647830.31,175849722.01,323497552.32,62.80,62.62,34142960.23,22384564.84,157310696.26,185999365.24,343310061.50,61.53,61.71,19617835.67,5173192.55,154469095.62,184308270.39,97.00,93.00
88.00,0.00,22669724.79,9650098.03,147893233.48,175995766.47,323888999.95,62.83,62.66,34376966.84,22661848.16,157356475.79,186026609.58,343383085.37,61.58,61.75,21957901.77,7946025.83,154926890.89,184580713.75,97.00,93.00
89.00,0.00,19744642.17,6184056.43,147320989.40,175655212.27,322976201.67,62.72,62.63,32204048.32,20087074.40,156931380.18,185773626.46,342705006.64,61.46,61.71,17829356.58,3053955.68,154119209.23,184100045.82,97.00,93.00
90.00,0.00,21652512.39,8444764.38,147694232.68,175877337.01,323571569.69,62.64,62.60,33791950.32,21968639.84,157242026.97,185958498.74,343200525.71,61.40,61.70,20436858.80,6143684.20,154629323.96,184403625.56,97.00,93.00
91.00,0.00,21265685.13,7986398.06,147618556.32,175832300.46,323450856.78,62.66,62.65,33775235.56,21948833.89,157238757.01,185956552.72,343195309.73,61.42,61.73,20487003.08,6203102.05,154639133.86,184409463.64,97.00,93.00
92.00,0.00,21116048.25,7809087.63,147589282.34,175814878.91,323404161.25,62.61,62.61,32822494.36,20819894.63,157052368.93,185845629.35,342897998.28,61.37,61.70,19751553.73,5331640.16,154495255.35,184323838.58,97.00,93.00
93.00,0.00,22042523.40,8906903.26,147770531.90,175922744.24,323693276.14,62.76,62.55,34895124.33,23275832.68,157457844.74,186086936.32,343544781.06,61.51,61.64,20386714.53,6084266.34,154619514.06,184397787.49,97.00,93.00
94.00,0.00,21521978.09,8290089.32,147668695.80,175862139.49,323530835.29,62.78,62.50,33407510.89,21513102.95,157166817.75,185913740.19,343080557.94,61.51,61.60,19901986.55,5509893.73,154524685.04,184341352.80,97.00,93.00
95.00,0.00,23846125.37,11044059.79,148123376.82,176132729.50,324256106.32,62.85,62.52,35948154.08,24523607.65,157663852.61,186209535.84,343873388.45,61.57,61.61,22960787.24,9134382.95,155123088.86,184697475.19,97.00,93.00
96.00,0.00,22961835.08,9996230.62,147950380.04,176029775.56,323980155.60,62.81,62.65,35312993.28,23770981.48,157539593.90,186135586.92,343675180.82,61.57,61.74,22041475.56,8045055.59,154943240.72,184590443.87,97.00,93.00
97.00,0.00,19533717.85,5934124.18,147279725.54,175630655.30,322910380.84,62.74,62.64,30549287.30,18126285.16,156607653.53,185580970.08,342188623.61,61.49,61.71,17963074.64,3212403.30,154145368.96,184115614.01,97.00,93.00
98.00,0.00,21092170.03,7780793.41,147584610.96,175812098.88,323396709.84,62.73,62.62,33156789.52,21216013.67,157117768.26,185884549.83,343002318.09,61.47,61.70,20303140.74,5985236.58,154603164.23,184388057.37,97.00,93.00
99.00,0.00,21455119.06,8210865.52,147655615.94,175854355.40,323509971.34,62.74,62.63,33023071.46,21057566.05,157091608.53,185868981.64,342960590.17,61.53,61.71,20135993.16,5787177.06,154570464.57,184368597.13,97.00,93.00
100.00,0.00,22021033.00,8881438.46,147766327.65,175920242.21,323686569.86,62.78,62.68,32153904.05,20027656.55,156921570.28,185767788.39,342689358.67,61.53,61.77,21289311.45,7153787.75,154796092.24,184502872.79,97.00,93.00
101.00,1.00,-36857895.40,-60886442.17,136247638.07,169065233.67,305312871.74,18.29,17.90,-76909890.86,-109206180.25,135585040.70,173069981.79,308655022.49,10.00,10.00,20787868.72,6559609.19,154697993.25,184444492.07,97.00,93.00
102.00,1.00,-36830037.47,-60853432.25,136253088.02,169068477.04,305321565.06,18.29,17.90,-76759458.04,-109027926.68,135614470.39,173087496.00,308701966.39,10.00,10.00,21556747.58,7470682.98,154848411.70,184534009.17,97.00,93.00
103.00,1.00,-37352970.61,-61473075.60,136150784.79,169007594.29,305158379.08,18.29,17.90,-77411333.59,-109800358.81,135486941.71,173011601.07,308498542.78,10.00,10.00,20587291.62,6321937.76,154658753.66,184421139.78,97.00,93.00
104.00,1.00,-36866650.75,-60896816.72,136245925.23,169064214.32,305310139.55,18.29,17.90,-77244186.01,-109602299.29,135519641.37,173031061.31,308550702.68,10.00,10.00,20169422.68,5826788.96,154577004.50,184372489.18,97.00,93.00
105.00,1.00,-36908039.68,-60945860.03,136237828.18,169059395.60,305297223.78,18.29,17.90,-76960035.13,-109265598.11,135575230.80,173064143.72,308639374.52,10.00,10.00,21540032.82,7450877.03,154845141.73,184532063.15,97.00,93.00
106.00,1.00,-36804567.37,-60823251.75,136258070.82,169071442.41,305329513.23,18.29,17.90,-77478192.62,-109879582.62,135473861.85,173003816.97,308477678.82,10.00,10.00,20721009.69,6480385.38,154684913.39,184436707.97,97.00,93.00
107.00,1.00,-36866650.75,-60896816.72,136245925.23,169064214.32,305310139.55,18.29,17.90,-77411333.59,-109800358.81,135486941.71,173011601.07,308498542.78,10.00,10.00,21556747.58,7470682.98,154848411.70,184534009.17,97.00,93.00
108.00,1.00,-39197165.56,-63658332.31,135789998.52,168792882.98,304582881.50,18.29,17.90,-78547937.13,-111147163.55,135264584.01,172879271.44,308143855.45,10.00,10.00,18146936.98,3430268.77,154181338.59,184137020.28,97.00,93.00
109.00,1.00,-37095881.72,-61168441.20,136201079.98,169037525.99,305238605.97,18.29,17.90,-76575595.70,-108810061.21,135650440.02,173108902.27,308759342.29,10.00,10.00,20186137.44,5846594.92,154580274.47,184374435.20,97.00,93.00
110.00,1.00,-37290091.28,-61398567.50,136163086.09,169014915.05,305178001.14,18.29,17.90,-77962920.60,-110453955.23,135379032.83,172947382.28,308326415.11,10.00,10.00,21707180.40,7648936.55,154877841.40,184551523.39,97.00,93.00
111.00,1.00,-38632047.56,-62988702.50,135900554.52,168858677.12,304759231.64,18.29,17.90,-78213641.97,-110751044.51,135329983.33,172918191.92,308248175.25,10.00,10.00,19149822.45,4618625.89,154377536.56,184253781.72,97.00,93.00
112.00,1.00,-37924456.14,-62150250.53,136038983.09,168941058.80,304980041.89,18.29,17.90,-77845917.30,-110315313.56,135401922.59,172961004.44,308362927.03,10.00,10.00,20436858.80,6143684.20,154629323.96,184403625.56,97.00,93.00
113.00,1.00,-36259347.88,-60177200.46,136364734.01,169134919.86,305499653.87,18.29,17.90,-76324874.33,-108512971.93,135699489.51,173138092.63,308837582.14,10.00,10.00,21707180.40,7648936.55,154877841.40,184551523.39,97.00,93.00
114.00,1.00,-38158462.75,-62427533.86,135993203.56,168913814.47,304907018.03,18.29,17.90,-77678769.72,-110117254.04,135434622.25,172980464.68,308415086.93,10.00,10.00,19584406.15,5133580.64,154462555.69,184304378.34,97.00,93.00
